Market	Symbol	Description
XNYS	BKN	Blackrock Investment Quality Municipal
XNYS	BKS	Barnes & Noble
XNYS	BKT	Blackrock Income Trust Inc.
XNYS	BKU	Bankunited
XNYS	BKW	Burger King Worldwide
XNYS	BLC	Belo Corp.
XNYS	BLH	Blackrock New York Muni 2018 Trust
XNYS	BLK	Blackrock
XNYS	BLL	Ball Corp.
XNYS	BLOX	Infoblox Inc.
XNYS	BLT	Blount International
XNYS	BLW	Blackrock Limited Duration Income Trust
XNYS	BLX	Banco Latinoamericano De Comercio
XNYS	BMA	Banco Macro S.A.
XNYS	BME	Blackrock Health Sciences Trust
XNYS	BMI	Badger Meter
XNYS	BML-G	Bank America Dep G
XNYS	BML-H	Bank America Dep H
XNYS	BML-I	Bank America Dep I
XNYS	BML-J	Bank America Dep J
XNYS	BML-L	Bank America Dep L
XNYS	BML-N	Bank America Dep N
XNYS	BML-O	Bank America Dep O
XNYS	BML-Q	Bank America Dep Q
XNYS	BMO	Bank Of Montreal
XNYS	BMR	Biomed Realty Trust
XNYS	BMR-A	Biomed Realty TR Pfd
XNYS	BMS	Bemis Company
XNYS	BMY	Bristol-Myers Squibb Company
XNYS	BNA	Blackrock Income Opportunity Trust Inc.
XNYS	BNJ	Blackrock New Jersey Muni Income Trust
XNYS	BNNY	Annie's Inc.
XNYS	BNS	Bank Of Nova Scotia
XNYS	BNY	Blackrock New York Muni Trust Inc.
XNYS	BOE	Blackrock Global
XNYS	BOH	Bank Of Hawaii Corp.
XNYS	BORN	China New Borun Corp.
XNYS	BOX	Seacube Container Leasing Ltd
XNYS	BOXC	Brookfield Office Properties C
XNYS	BP	Bp P.L.C.
XNYS	BPI	Bridgepoint Education
XNYS	BPK	Blackrock Muni 2018 Trust
XNYS	BPL	Buckeye Partners L.P.
XNYS	BPO	Brookfield Properties Corp.
XNYS	BPT	Bp Prudhoe Bay Royalty Trust
XNYS	BPZ	Bpz Resources Inc
XNYS	BQH	Blackrock New York Muni Trust
XNYS	BQR	Blackrock Ecosolutions Investment Trust
XNYS	BR	Broadridge Financial Solutions Llc
XNYS	BRC	Brady Corp.
XNYS	BRE	Bre Properties
XNYS	BRE-D	Bre Pptys Pfd D
XNYS	BRFS	Brf-Brasil Foods S.A.
XNYS	BRK.A	Berkshire Hath Hld A
XNYS	BRK.B	Berkshire Hath Hld B
XNYS	BRO	Brown & Brown
XNYS	BRP	Brookfield Residential Propert
XNYS	BRS	Bristow Group Inc
XNYS	BRT	Brt Realty Trust
XNYS	BRY	Berry Petroleum Company
XNYS	BSAC	Banco Santander-Chile Ads
XNYS	BSBR	Banco Santander Brasil Sa
XNYS	BSD	Blackrock Strategic Muni Trust Inc.
XNYS	BSE	Blackrock New York Muni Income Trust
XNYS	BSI	Alon Holdings - Blue Square Israel Ltd
XNYS	BSL	Blackstone Gso Senior Floating Rate
XNYS	BSMX	Grupo Financiero Santander Mxi
XNYS	BSP	American Strategic Income Portfolio II
XNYS	BSX	Boston Scientific Corp.
XNYS	BT	Bt Group Plc
XNYS	BTA	Blackrock Long-Term Muni Advantage Trust
XNYS	BTE	Baytex Energy Corp
XNYS	BTF	Boulder Total Return Fund
XNYS	BTH	Blyth
XNYS	BTO	John Hancock Bank And Thrift Fund
XNYS	BTT	Blackrock Municipal Target Term
XNYS	BTU	Peabody Energy Corp.
XNYS	BTZ	Blackrock Preferred
XNYS	BUD	Anheuser-Busch Inbev Sa
XNYS	BUI	Blackrock Utility And Infrastr
XNYS	BVN	Compania Mina Buenaventura S.A.
XNYS	BWA	Borgwarner Inc.
XNYS	BWC	Babcock & Wilcox Company
XNYS	BWF	Wells Fargo & Company
XNYS	BWG	Legg Mason Bw Global Income Op
XNYS	BWP	Boardwalk Pipeline Partners L.P.
XNYS	BWS	Brown Shoe Company
XNYS	BX	The Blackstone Group L.P.
XNYS	BXC	Bluelinx Holdings Inc.
XNYS	BXG	Bluegreen Corp.
XNYS	BXP	Boston Properties
XNYS	BXS	Bancorpsouth
XNYS	BXS-A	Bancorpsouth Cp TR I
XNYS	BYD	Boyd Gaming Corp.
XNYS	BYI	Bally Technologies
XNYS	BYM	Blackrock Muni Income Quality Trust
XNYS	BZ	Boise Inc
XNYS	BZH	Beazer Homes USA
XNYS	BZMD	Beazer Homes USA
XNYS	BZT	Beazer Homes USA Inc. 7.50% Tangible Equity
XNYS	BZU	Beazer Homes USA
XNYS	C	Citigroup Inc.
XNYS	C-E	Cg Cp Xvii 6.35 Trup
XNYS	C-I	Citigroup Inc Pfd
XNYS	C-M	Citigroup Pfd F
XNYS	C-N	Citigroup Capital XiII
XNYS	C-O	Citigrp 6.875% Encha
XNYS	C-P	Citigroup Pfd Ser Aa
XNYS	C-Q	Citigrp Cap Vi Trups
XNYS	C-R	Citigroup Cap X
XNYS	C-S	Citigroup Cap Ix 6.0
XNYS	C-U	Citigroup Capital Xv
XNYS	C-V	Citigroup Cap Vii
XNYS	C-W	Citigroup Inc. 6.45%
XNYS	C-Z	Citigroup Cap ViII
XNYS	C.A	Citigroup Inc Wrnt 'A'
XNYS	C.B	Citigroup Inc Wrnt 'B'
XNYS	CAB	Cabela's Inc
XNYS	CACI	Caci International
XNYS	CAE	Cae Inc
XNYS	CAF	Morgan Stanley China A Share Fund Inc.
XNYS	CAG	Conagra Foods
XNYS	CAH	Cardinal Health
XNYS	CAJ	Canon
XNYS	CALX	Calix Inc
XNYS	CAM	Cameron International Corp.
XNYS	CAP	Cai International
XNYS	CAS	Castle [A.M.] & Co.
XNYS	CASC	Cascade Corp.
XNYS	CAT	Caterpillar
XNYS	CATO	Cato Corp.
XNYS	CB	Chubb Corp.
XNYS	CBB	Cincinnati Bell Inc
XNYS	CBB-B	Cincinnati Bell Pr B
XNYS	CBD	Companhia Brasileira De Distribuicao
XNYS	CBG	Cbre Group Inc
XNYS	CBI	Chicago Bridge & Iron Company N.V.
XNYS	CBK	Christopher & Banks Corp.
