Market	Symbol	Description
XTSE	BNS.PR.Y	Bank Of Nova Scotia 5 Yr Pref Ser 30
XTSE	BNS.PR.Z	Bns Preferred Series 32
XTSE	BOS	Airboss America J
XTSE	BOX.UN	Brookfield Office Properties Cda
XTSE	BOY	Boyuan Construction Group Inc.
XTSE	BOY.DB.A	Boyuan Constr Grp Inc 10 Pct Dbs A
XTSE	BPF.UN	Boston Pizza Royalties Income Fund
XTSE	BPO	Brookfield Office Properties Inc
XTSE	BPO.PR.F	Brookfield Office Properties Pref Ser F
XTSE	BPO.PR.H	Brookfield Office Properties Pref Ser H
XTSE	BPO.PR.J	Brookfield Office Properties Pref Ser J
XTSE	BPO.PR.K	Brookfield Office Properties Pref Ser K
XTSE	BPO.PR.L	Brookfield Office Properties Pref Ser L
XTSE	BPO.PR.N	Brookfield Office Properties Pref Ser N
XTSE	BPO.PR.P	Brookfield Office Properties Pref Ser P
XTSE	BPO.PR.R	Brookfield Office Properties Pref Ser R
XTSE	BPO.PR.T	Brookfield Office Properties Pref Ser T
XTSE	BPO.PR.U	Brookfield Office Properties Pref Ser G
XTSE	BQE	Bioteq Environmental Technologiesinc.
XTSE	BR	Big Rock Brewery Inc.
XTSE	BRB	Brick Brewing J
XTSE	BRD	Brigus Gold Corp
XTSE	BRD.DB.U	Brigus Gold Corp 6.5 Pct Debs USD
XTSE	BRD.WT	Brigus Gold Corp Warrants
XTSE	BRD.WT.A	Brigus Gold Corp Wts Series A
XTSE	BRE	Brookfield Real Estate Services Inc.
XTSE	BRF.PR.A	Brookfield Renewablepref Cl A Ser 1
XTSE	BRF.PR.C	Brookfield Renewable Power Pref Eqty Inc
XTSE	BRK	The Brick Ltd.
XTSE	BRK.DB	Brick Group 12% Deb
XTSE	BRK.WT	The Brick Ltd. Wts
XTSE	BRP	Brookfield Residential Properties Inc
XTSE	BRY	Bri Chem Corp
XTSE	BSC	Bns Split Corp.Ii
XTSE	BSC.PR.B	Bns Split Corp II Pref B Series 1
XTSE	BSD.PR.A	Brookfield Soundvest Split Trust Pref
XTSE	BSD.UN	Brookfield Soundvest Split Trust
XTSE	BSE.UN	Brookfield Soundvest Equity Fund
XTSE	BSX	Belo Sun Mining Corp.
XTSE	BT	Bonnetts Energy Corp
XTSE	BTB.DB.B	Btb REIT 8.5 Pct Debs
XTSE	BTB.DB.C	Btb REIT 8.0 Pct Debs
XTSE	BTB.DB.D	Btb REIT 7.25 Pct Debs
XTSE	BTB.UN	Btb REIT Units
XTSE	BTE	Baytex Energy Corp.
XTSE	BTO	B2Gold Corp.
XTSE	BU	Burcon Nutrascience Corporation
XTSE	BUC	Bucking Horse Energy Inc
XTSE	BUI	Buhler Ind
XTSE	BVL	Braeval Mining Corporation
XTSE	BWI.UN	Legg Mason Bw Invest Grade Focu
XTSE	BX	Biox Corporation
XTSE	BXE	Bellatrix Exploration Ltd
XTSE	BXE.DB.A	Bellatrix Expl Ltd 4.75 Pct Conv Debs
XTSE	BXI	Bioexx Specialty Proteins Ltd.
XTSE	BXS.DB.B	Barclays Bank Fixed Income Notes I-26
XTSE	BXS.DB.C	Barclays Bank Fixed Rate Notes I 28
XTSE	BYD.DB	Boyd Group Income Fund 5.75 Pct
